"Comunidades","periodo","Total"
"Andalucia","2007","148025809"
"Andalucia","2008","151226849"
"Andalucia","2009","144878289"
"Andalucia","2010","144752225"
"Andalucia","2011","143389086"
"Andalucia","2012","138007226"
"Andalucia","2013","136048003"
"Andalucia","2014","137722026"
"Andalucia","2015","144745569"
"Andalucia","2016","148405362"
"Andalucia","2017","155371755"
"Andalucia","2018","160711363"
"Andalucia","2019","165865509"
"Andalucia","2020","150556999"
"Aragon","2007","33853480"
"Aragon","2008","35141063"
"Aragon","2009","33564425"
"Aragon","2010","33828995"
"Aragon","2011","33368344"
"Aragon","2012","31963049"
"Aragon","2013","32082809"
"Aragon","2014","32289054"
"Aragon","2015","32876311"
"Aragon","2016","34214691"
"Aragon","2017","35638352"
"Aragon","2018","36850296"
"Aragon","2019","38043571"
"Aragon","2020","35289952"
"Canarias","2007","41425115"
"Canarias","2008","42308705"
"Canarias","2009","40296021"
"Canarias","2010","40811481"
"Canarias","2011","40595330"
"Canarias","2012","39204779"
"Canarias","2013","39032454"
"Canarias","2014","39266705"
"Canarias","2015","40566240"
"Canarias","2016","42013704"
"Canarias","2017","44205400"
"Canarias","2018","45823321"
"Canarias","2019","47164165"
"Canarias","2020","39162597"
"Cantabria","2007","12819428"
"Cantabria","2008","13260788"
"Cantabria","2009","12788985"
"Cantabria","2010","12836685"
"Cantabria","2011","12622706"
"Cantabria","2012","12167280"
"Cantabria","2013","11864241"
"Cantabria","2014","12057567"
"Cantabria","2015","12325933"
"Cantabria","2016","12736089"
"Cantabria","2017","13226038"
"Cantabria","2018","13737756"
"Cantabria","2019","14187412"
"Cantabria","2020","12866634"
"Castilla - La Mancha","2007","38370244"
"Castilla - La Mancha","2008","39926198"
"Castilla - La Mancha","2009","38582257"
"Castilla - La Mancha","2010","38706827"
"Castilla - La Mancha","2011","38258606"
"Castilla - La Mancha","2012","36890198"
"Castilla - La Mancha","2013","36153041"
"Castilla - La Mancha","2014","35353236"
"Castilla - La Mancha","2015","37113609"
"Castilla - La Mancha","2016","38315029"
"Castilla - La Mancha","2017","39891219"
"Castilla - La Mancha","2018","41521223"
"Castilla - La Mancha","2019","42820105"
"Castilla - La Mancha","2020","39572837"
"Castilla y Leon","2007","55466217"
"Castilla y Leon","2008","56637995"
"Castilla y Leon","2009","54795978"
"Castilla y Leon","2010","54970431"
"Castilla y Leon","2011","54575008"
"Castilla y Leon","2012","52868471"
"Castilla y Leon","2013","51504174"
"Castilla y Leon","2014","51539425"
"Castilla y Leon","2015","53238351"
"Castilla y Leon","2016","54767172"
"Castilla y Leon","2017","56051831"
"Castilla y Leon","2018","58477225"
"Castilla y Leon","2019","59794929"
"Castilla y Leon","2020","55401268"
"Cataluña","2007","202380332"
"Cataluña","2008","207716061"
"Cataluña","2009","200139996"
"Cataluña","2010","201705890"
"Cataluña","2011","198906023"
"Cataluña","2012","193449278"
"Cataluña","2013","192006545"
"Cataluña","2014","195370105"
"Cataluña","2015","204355232"
"Cataluña","2016","212703912"
"Cataluña","2017","221476488"
"Cataluña","2018","229345722"
"Cataluña","2019","236813926"
"Cataluña","2020","212931347"
"Ceuta","2007","1512357"
"Ceuta","2008","1562940"
"Ceuta","2009","1551373"
"Ceuta","2010","1578805"
"Ceuta","2011","1575312"
"Ceuta","2012","1525243"
"Ceuta","2013","1551851"
"Ceuta","2014","1543087"
"Ceuta","2015","1597390"
"Ceuta","2016","1636511"
"Ceuta","2017","1659859"
"Ceuta","2018","1720295"
"Ceuta","2019","1765617"
"Ceuta","2020","1642136"
"Comunidad de Madrid","2007","193749322"
"Comunidad de Madrid","2008","201235501"
"Comunidad de Madrid","2009","198374372"
"Comunidad de Madrid","2010","197145571"
"Comunidad de Madrid","2011","198465261"
"Comunidad de Madrid","2012","195026853"
"Comunidad de Madrid","2013","192620202"
"Comunidad de Madrid","2014","194960214"
"Comunidad de Madrid","2015","204244524"
