"Comunidades","periodo","Total"
"Total Nacional","2020","1121948000"
"Total Nacional","2019","1244375000"
"Total Nacional","2018","1203259000"
"Total Nacional","2017","1161867000"
"Total Nacional","2016","1113840000"
"Total Nacional","2015","1077590000"
"Total Nacional","2014","1032158000"
"Total Nacional","2013","1020348000"
"Total Nacional","2012","1031099000"
"Total Nacional","2011","1063763000"
"Total Nacional","2010","1072709000"
"Total Nacional","2009","1069323000"
"Total Nacional","2008","1109541000"
"Total Nacional","2007","1075539000"
